Number,ID,Complexity,Type,Instruction,Referents,,object_name,x,y,z,Referents_Original,Referents_Cleaned,Referents_AnchorMapped,Referents_Changed,Referents_Unparsed
520,Medium-520,medium,direct,"Check that file for its label, then slide that chair by the desk.","File3, Chair1, Desk5",,,,,,"File3, Chair1, Desk5","File3, Chair1, Desk5","file3, chair1, desk5",false,
521,Medium-521,medium,direct,"Arrange that laptop, then adjust that lamp.","Laptop1, Lamp1",,,,,,"Laptop1, Lamp1","Laptop1, Lamp1","laptop1, lamp1",false,
522,Medium-522,medium,direct,"Tidy that file, then close that drawer.","File4, Drawer1",,,,,,"File4, Drawer1","File4, Drawer1","file4, Drawer1",false,
523,Medium-523,medium,direct,"Open that door, then slide that laptop over there.","Door1, Laptop2, Desk3",,,,,,"Door1, Laptop2, Desk3","Door1, Laptop2, Desk3","door1, laptop2, desk3",false,
524,Medium-524,medium,indirect,"Tell that colleague to tidy that drawer, then inspect that printer for paper and toner.","Person3, Drawer2, Printer1",,,,,,"Person3, Drawer2, Printer1","Person3, Drawer2, Printer1","person3, Drawer2, printer",false,
525,Medium-525,medium,indirect,"Instruct that colleague to inspect that laptop for battery level, then open that door, then carry that file in front of the desk.","Person3, Laptop2, Door1, File1, Desk8",,,,,,"Person3, Laptop2, Door1, File1, Desk8","Person3, Laptop2, Door1, File1, Desk8","person3, laptop2, door1, file1, desk8",false,
526,Medium-526,medium,direct,"Slide that chair by the desk, then slide that chair near there, then check that printer for paper and toner.","Chair6, Desk3, Chair5, PointA, Printer1",,,,,,"Chair6, Desk3, Chair5,PointA, Printer1","Chair6, Desk3, Chair5, PointA, Printer1","chair6, desk3, chair5, pointA, printer",true,
527,Medium-527,medium,direct,"Open that drawer, then adjust that lamp, then carry that file by the spot.","Drawer2, Lamp3, File5, PointA",,,,,,"Drawer2, Lamp3, File5, PointA","Drawer2, Lamp3, File5, PointA","Drawer2, lamp3, file5, pointA",false,
528,Medium-528,medium,direct,"Confirm that desk for clutter, then slide that file next to the desk.","Desk7, File5, Desk8",,,,,,"Desk7, File5, Desk8","Desk7, File5, Desk8","desk7, file5, desk8",false,
529,Medium-529,medium,direct,"Arrange that file, then confirm that lamp for brightness.","File5, Lamp1",,,,,,"File5, Lamp1","File5, Lamp1","file5, lamp1",false,
530,Medium-530,medium,indirect,"Instruct that colleague to push that chair over there, then push that file near the door.","Person3, Chair7, Desk5, File2, Door1",,,,,,"Person3, Chair7, Desk5, File2, Door1","Person3, Chair7, Desk5, File2, Door1","person3, chair7, desk5, file2, door1",false,
531,Medium-531,medium,indirect,"Request that colleague to adjust that lamp, then arrange that chair.","Person1, Lamp3, Chair2",,,,,,"Person1, Lamp3, Chair2","Person1, Lamp3, Chair2","person1, lamp3, chair2",false,
532,Medium-532,medium,direct,"Place that chair by the desk, then slide that chair next to the desk.","Chair6, Desk7, Chair8, Desk6",,,,,,"Chair6, Desk7, Chair8, Desk6","Chair6, Desk7, Chair8, Desk6","chair6, desk7, chair8, desk6",false,
533,Medium-533,medium,indirect,"Ask that colleague to inspect that door for scratches, then tidy that file.","Person3, Door1, File3",,,,,,"Person3, Door1, File3","Person3, Door1, File3","person3, door1, file3",false,
534,Medium-534,medium,direct,"Move that chair next to the desk, then adjust that lamp.","Chair8, Desk8, Lamp2",,,,,,"Chair8, Desk8, Lamp2","Chair8, Desk8, Lamp2","chair8, desk8, lamp2",false,
535,Medium-535,medium,indirect,"Request that colleague to inspect that desk for clutter, then place that file over there.","Person2, Desk2, File4, Desk5",,,,,,"Person2, Desk2, File4, Desk5","Person2, Desk2, File4, Desk5","person2, desk2, file4, desk5",false,
536,Medium-536,medium,direct,Confirm that computer for display issues.,PC2,,,,,,PC2,PC2,PC2,false,
537,Medium-537,medium,direct,"Move that chair over there, then inspect that computer for display issues.","Chair3, Desk3, PC1",,,,,,"Chair3, Desk3, PC1","Chair3, Desk3, PC1","chair3, desk3, PC1",false,
538,Medium-538,medium,direct,"Reposition that chair in front of the desk, then inspect that lamp for brightness.","Chair7, Desk5, Lamp3",,,,,,"Chair7, Desk5, Lamp3","Chair7, Desk5, Lamp3","chair7, desk5, lamp3",false,
539,Medium-539,medium,indirect,"Tell that colleague to reposition that chair over there, then confirm that desk for clutter, then inspect that lamp for brightness.","Person2, Chair6, Desk1, Desk6, Lamp3",,,,,,"Person2, Chair6, Desk1, Desk6, Lamp3","Person2, Chair6, Desk1, Desk6, Lamp3","person2, chair6, desk1, desk6, lamp3",false,
540,Medium-540,medium,direct,"Carry that chair close to the desk, then arrange that laptop.","Chair1, Desk2, Laptop1",,,,,,"Chair1, Desk2, Laptop1","Chair1, Desk2, Laptop1","chair1, desk2, laptop1",false,
541,Medium-541,medium,indirect,"Request that colleague to confirm that lamp for brightness, then close that drawer.","Person1, Lamp3, Drawer2",,,,,,"Person1, Lamp3, Drawer2","Person1, Lamp3, Drawer2","person1, lamp3, Drawer2",false,
542,Medium-542,medium,direct,"Reposition that chair to there, then slide that file close to the printer, then verify that lamp for brightness.","Chair1, Desk7, File1, Printer1, Lamp3",,,,,,"Chair1, Desk7, File1, Printer1, lamp3","Chair1, Desk7, File1, Printer1, Lamp3","chair1, desk7, file1, printer, lamp3",true,
543,Medium-543,medium,direct,"Arrange that file, then close that drawer.","File4, Drawer1",,,,,,"File4, Drawer1","File4, Drawer1","file4, Drawer1",false,
544,Medium-544,medium,direct,"Confirm that file for its label, then carry that laptop by the spot.","File1, Laptop1, PointC",,,,,,"File1, Laptop1, PointC","File1, Laptop1, PointC","file1, laptop1, pointC",false,
545,Medium-545,medium,direct,"Open that door, then verify that lamp for brightness.","Door1, Lamp2",,,,,,"Door1, Lamp2","Door1, Lamp2","door1, lamp2",false,
546,Medium-546,medium,indirect,"Ask that colleague to arrange that file, then check that file for its label, then arrange that laptop.","Person2, File2, File3, Laptop1",,,,,,"Person2, File2, File3, Laptop1","Person2, File2, File3, Laptop1","person2, file2, file3, laptop1",false,
547,Medium-547,medium,direct,"Move that file close to the desk, then check that printer for paper and toner.","File2, Desk1, Printer1",,,,,,"File2, Desk1, Printer1","File2, Desk1, Printer1","file2, desk1, printer",false,
548,Medium-548,medium,direct,"Slide that chair near there, then move that chair close to the spot.","Chair2, Desk5, Chair7, PointC",,,,,,"Chair2, Desk5, Chair7, PointC","Chair2, Desk5, Chair7, PointC","chair2, desk5, chair7, pointC",false,
549,Medium-549,medium,indirect,"Tell that colleague to close that door, then move that laptop over there.","Person1, Door1, Laptop1, Desk2",,,,,,"Person1, Door1, Laptop1, Desk2","Person1, Door1, Laptop1, Desk2","person1, door1, laptop1, desk2",false,
550,Medium-550,medium,direct,"Secure that laptop, then slide that laptop over there.","Laptop1, Laptop2, Desk8",,,,,,"Laptop1, Laptop2, Desk8","Laptop1, Laptop2, Desk8","laptop1, laptop2, desk8",false,
551,Medium-551,medium,direct,Close that door,Door1,,,,,,Door1,Door1,door1,false,
552,Medium-552,medium,direct,"Verify that door for scratches, then secure that chair.","Door1, Chair5",,,,,,"Door1, Chair5","Door1, Chair5","door1, chair5",false,
553,Medium-553,medium,indirect,"Instruct that colleague to inspect that lamp for brightness, then push that file over there.","Person2, Lamp1, File3, Desk2",,,,,,"Person2, Lamp1, File3, Desk2","Person2, Lamp1, File3, Desk2","person2, lamp1, file3, desk2",false,
554,Medium-554,medium,direct,"Push that laptop next to the door, then check that printer for paper and toner.","Laptop1, Door1, Printer1",,,,,,"Laptop1, Door1, Printer1","Laptop1, Door1, Printer1","laptop1, door1, printer",false,
555,Medium-555,medium,indirect,"Tell that colleague to carry that chair over there, then verify that file for its label.","Person1, Chair2, Desk4, File1",,,,,,"Person1, Chair2, Desk4, File1","Person1, Chair2, Desk4, File1","person1, chair2, desk4, file1",false,
556,Medium-556,medium,direct,"Adjust that chair, then confirm that lamp for brightness.","Chair3, Lamp2",,,,,,"Chair3, Lamp2","Chair3, Lamp2","chair3, lamp2",false,
557,Medium-557,medium,direct,"Move that chair to there, then tidy that file.","Chair8, Desk1, File2",,,,,,"Chair8, Desk1, File2","Chair8, Desk1, File2","chair8, desk1, file2",false,
558,Medium-558,medium,direct,"Close that drawer, then reposition that chair in front of there.","Drawer1, Chair2, Desk8",,,,,,"Drawer1, Chair2, Desk8","Drawer1, Chair2, Desk8","Drawer1, chair2, desk8",false,
559,Medium-559,medium,direct,"Close that door, then carry that chair close to the desk, then adjust that lamp.","Door1, Chair4, Desk1, Lamp2",,,,,,"Door1, Chair4, Desk1, Lamp2","Door1, Chair4, Desk1, Lamp2","door1, chair4, desk1, lamp2",false,
560,Medium-560,medium,direct,"Arrange that chair, then move that laptop in front of the printer.","Chair6, Laptop1, Printer1",,,,,,"Chair6, Laptop1, Printer1","Chair6, Laptop1, Printer1","chair6, laptop1, printer",false,
561,Medium-561,medium,indirect,"Tell that colleague to check that file for its label, then close that door.","Person1, File2, Door1",,,,,,"Person1, File2, Door1","Person1, File2, Door1","person1, file2, door1",false,
562,Medium-562,medium,indirect,"Instruct that colleague to inspect that file for its label, then carry that chair next to the desk.","Person2, File2, Chair4, Desk2",,,,,,"Person2, File2, Chair4, Desk2","Person2, File2, Chair4, Desk2","person2, file2, chair4, desk2",false,
563,Medium-563,medium,direct,"Adjust that lamp, then place that file near the desk, then adjust that laptop.","Lamp1, File2, Desk8, Laptop2",,,,,,"Lamp1, File2, Desk8, Laptop2","Lamp1, File2, Desk8, Laptop2","lamp1, file2, desk8, laptop2",false,
564,Medium-564,medium,direct,"Adjust that lamp, then inspect that lamp for brightness.","Lamp1, Lamp2",,,,,,"Lamp1, Lamp2","Lamp1, Lamp2","lamp1, lamp2",false,
565,Medium-565,medium,direct,"Reposition that chair in front of the desk, then check that laptop for battery level.","Chair2, Desk5, Laptop2",,,,,,"Chair2, Desk5, Laptop2","Chair2, Desk5, Laptop2","chair2, desk5, laptop2",false,
566,Medium-566,medium,direct,"Carry that file to there, then inspect that laptop for battery level.","File1, Desk7, Laptop1",,,,,,"File1, Desk7, Laptop1","File1, Desk7, Laptop1","file1, desk7, laptop1",false,
567,Medium-567,medium,direct,"Tidy that file, then move that file next to the desk, then move that chair next to the door.","File5, File4, Desk2, Chair7, Door1",,,,,,"File5, File4, Desk2, Chair7, Door1","File5, File4, Desk2, Chair7, Door1","file5, file4, desk2, chair7, door1",false,
568,Medium-568,medium,indirect,"Ask that colleague to place that chair over there, then carry that laptop next to the desk.","Person3, Chair8, PointB, Laptop2, Desk1",,,,,,"Person3, Chair8, PointB, Laptop2, Desk1","Person3, Chair8, PointB, Laptop2, Desk1","person3, chair8, pointB, laptop2, desk1",false,
569,Medium-569,medium,direct,"Push that chair to there, then verify that laptop, then verify that door for scratches.","Chair3, Desk8, Laptop1, Door1",,,,,,"Chair3, Desk8, Laptop1, Door1","Chair3, Desk8, Laptop1, Door1","chair3, desk8, laptop1, door1",false,
570,Medium-570,medium,direct,"Close that drawer, then tidy that drawer.",Drawer1,,,,,,Drawer1,Drawer1,Drawer1,false,
571,Medium-571,medium,direct,"Reposition that chair to the desk, then check that door for scratches.","Chair1, Desk4, Door1",,,,,,"Chair1, Desk4, Door1","Chair1, Desk4, Door1","chair1, desk4, door1",false,
572,Medium-572,medium,indirect,"Tell that colleague to verify that door for scratches, then move that chair by the spot.","Person2, Door1, Chair5, PointA",,,,,,"Person2, Door1, Chair5, PointA","Person2, Door1, Chair5, PointA","person2, door1, chair5, pointA",false,
573,Medium-573,medium,direct,"Slide that chair next to the desk, then reposition that chair close to the spot.","Chair4, Desk4, Chair7, PointC",,,,,,"Chair4, Desk4, Chair7, PointC","Chair4, Desk4, Chair7, PointC","chair4, desk4, chair7, pointC",false,
574,Medium-574,medium,direct,"Confirm that desk for clutter, then arrange that laptop.","Desk6, Laptop2",,,,,,"Desk6, Laptop2","Desk6, Laptop2","desk6, laptop2",false,
575,Medium-575,medium,indirect,"Ask that colleague to open that door, then tidy that file.","Person3, Door1, File5",,,,,,"Person3, Door1, File5","Person3, Door1, File5","person3, door1, file5",false,
576,Medium-576,medium,direct,"Confirm that lamp for brightness, then adjust that chair.","Lamp3, Chair4",,,,,,"Lamp3, Chair4","Lamp3, Chair4","lamp3, chair4",false,
577,Medium-577,medium,direct,"Slide that laptop over there, then check that lamp for brightness.","Laptop1, Desk4, Lamp2",,,,,,"Laptop1, Desk4, Lamp2","Laptop1, Desk4, Lamp2","laptop1, desk4, lamp2",false,
578,Medium-578,medium,direct,"Carry that file to there, then verify that lamp for brightness.","File5, Desk7, Lamp2",,,,,,"File5, Desk7, Lamp2","File5, Desk7, Lamp2","file5, desk7, lamp2",false,
579,Medium-579,medium,indirect,"Request that colleague to verify that desk for clutter, then adjust that lamp.","Person2, Desk6, Lamp3",,,,,,"Person2, Desk6, Lamp3","Person2, Desk6, Lamp3","person2, desk6, lamp3",false,
580,Medium-580,medium,direct,"Check that file for its label, then push that laptop near there.","File2, Laptop2, PointB",,,,,,"File2, Laptop2, PointB","File2, Laptop2, PointB","file2, laptop2, pointB",false,
581,Medium-581,medium,indirect,"Instruct that colleague to arrange that drawer, then place that file near there.","Person1, Drawer1, File5, Door1",,,,,,"Person1, Drawer1, File5, Door1","Person1, Drawer1, File5, Door1","person1, Drawer1, file5, door1",false,
582,Medium-582,medium,direct,"Carry that chair near there, then verify that file for its label, then adjust that laptop.","Chair7, Desk4, File3, Laptop2",,,,,,"Chair7, Desk4, File3, Laptop2","Chair7, Desk4, File3, Laptop2","chair7, desk4, file3, laptop2",false,
583,Medium-583,medium,indirect,"Instruct that colleague to verify that file for its label, then adjust that chair.","Person1, File1, Chair5",,,,,,"Person1, File1, Chair5","Person1, File1, Chair5","person1, file1, chair5",false,
584,Medium-584,medium,indirect,"Tell that colleague to verify that door for scratches, then arrange that laptop.","Person3, Door1, Laptop1",,,,,,"Person3, Door1, Laptop1","Person3, Door1, Laptop1","person3, door1, laptop1",false,
585,Medium-585,medium,direct,"Check that computer for display issues, then verify that file for its label.","PC2, File1",,,,,,"PC2, File1","PC2, File1","PC2, file1",false,
586,Medium-586,medium,indirect,"Request that colleague to arrange that file, then push that laptop by the desk.","Person2, File1, Laptop2, Desk8",,,,,,"Person2, File1, Laptop2, Desk8","Person2, File1, Laptop2, Desk8","person2, file1, laptop2, desk8",false,
587,Medium-587,medium,direct,"Push that chair near there, then verify that lamp for brightness.","Chair1, Desk3, Lamp3",,,,,,"Chair1, Desk3, Lamp3","Chair1, Desk3, Lamp3","chair1, desk3, lamp3",false,
588,Medium-588,medium,direct,"Inspect that computer for display issues, then reposition that file to there.","PC4, File5, Desk5",,,,,,"PC4, File5, Desk5","PC4, File5, Desk5","PC4, file5, desk5",false,
589,Medium-589,medium,direct,"Arrange that chair, then verify that laptop for battery level.","Chair8, Laptop2",,,,,,"Chair8, Laptop2","Chair8, Laptop2","chair8, laptop2",false,
590,Medium-590,medium,direct,Check that door for scratches.,Door1,,,,,,Door1,Door1,door1,false,
591,Medium-591,medium,direct,"Tidy that drawer, then push that chair to there, then adjust that chair.","Drawer1, Chair5, PointB, Chair3",,,,,,"Drawer1, Chair5, PointB, Chair3","Drawer1, Chair5, PointB, Chair3","Drawer1, chair5, pointB, chair3",false,
592,Medium-592,medium,indirect,"Request that colleague to arrange that laptop, then move that chair toward the door.","Person2, Laptop2, Chair8, Door1",,,,,,"Person2, Laptop2, Chair8, Door1","Person2, Laptop2, Chair8, Door1","person2, laptop2, chair8, door1",false,
593,Medium-593,medium,direct,"Verify that laptop for battery level, then carry that chair in front of the door.","Laptop1, Chair7, Door1",,,,,,"Laptop1, Chair7, Door1","Laptop1, Chair7, Door1","laptop1, chair7, door1",false,
594,Medium-594,medium,indirect,"Tell that colleague to slide that chair near the desk, then adjust that chair, then slide that file over there.","Person3, Chair2, Desk6, Chair3, File2, PointC",,,,,,"Person3, Chair2, Desk6, Chair3, file2, PointC","Person3, Chair2, Desk6, Chair3, File2, PointC","person3, chair2, desk6, chair3, file2, pointC",true,
595,Medium-595,medium,indirect,"Tell that colleague to push that chair to there, then verify that printer for paper and toner.","Person1, Chair6, Desk4, Printer1",,,,,,"Person1, Chair6, Desk4, Printer1","Person1, Chair6, Desk4, Printer1","person1, chair6, desk4, printer",false,
596,Medium-596,medium,direct,"Verify that laptop for battery level, then move that chair by the desk.","Laptop2, Chair6, Desk8",,,,,,"Laptop2, Chair6, Desk8","Laptop2, Chair6, Desk8","laptop2, chair6, desk8",false,
597,Medium-597,medium,direct,"Check that door for scratches, then carry that laptop to there.","Door1, Laptop1, Desk8",,,,,,"Door1, Laptop1, Desk8","Door1, Laptop1, Desk8","door1, laptop1, desk8",false,
598,Medium-598,medium,indirect,"Ask that colleague to carry that laptop over there, then inspect that desk for clutter.","Person3, Laptop2, Desk4, Desk1",,,,,,"Person3, Laptop2, Desk4, Desk1","Person3, Laptop2, Desk4, Desk1","person3, laptop2, desk4, desk1",false,
599,Medium-599,medium,direct,"Check that computer for display issues, then verify that desk for clutter, then open that door.","PC3, Desk6, Door1",,,,,,"PC3, Desk6, Door1","PC3, Desk6, Door1","PC3, desk6, door1",false,
600,Medium-600,medium,indirect,"Request that colleague to check that file for its label, then arrange that chair.","Person3, File4, Chair2",,,,,,"Person3, File4, Chair2","Person3, File4, Chair2","person3, file4, chair2",false,
601,Medium-601,medium,indirect,"Request that colleague to check that laptop for battery level, then carry that laptop in front of the printer.","Person2, Laptop2, Laptop1, Printer1",,,,,,"Person2, Laptop2, Laptop1, Printer1","Person2, Laptop2, Laptop1, Printer1","person2, laptop2, laptop1, printer",false,
602,Medium-602,medium,direct,"Check that desk for clutter, then place that file to there.","Desk4, File4, Desk5",,,,,,"Desk4, File4, Desk5","Desk4, File4, Desk5","desk4, file4, desk5",false,
603,Medium-603,medium,direct,"Arrange that drawer, then inspect that door for scratches.","Drawer1, Door1",,,,,,"Drawer1, Door1","Drawer1, Door1","Drawer1, door1",false,
604,Medium-604,medium,direct,"Check that printer for paper and toner, then tidy that file.","Printer1, File5",,,,,,"Printer1, File5","Printer1, File5","printer, file5",false,
605,Medium-605,medium,indirect,"Ask that colleague to confirm that laptop for battery level, then move that file close to there.","Person2, Laptop2, File3, Desk5",,,,,,"Person2, Laptop2, File3, Desk5","Person2, Laptop2, File3, Desk5","person2, laptop2, file3, desk5",false,
606,Medium-606,medium,indirect,"Tell that colleague to confirm that file for its label, then push that chair to there.","Person3, File2, Chair7, PointC",,,,,,"Person3, File2, Chair7, PointC","Person3, File2, Chair7, PointC","person3, file2, chair7, pointC",false,
607,Medium-607,medium,indirect,"Request that colleague to place that chair close to the desk, then carry that chair close to the spot.","Person2, Chair2, Desk5, Chair3, PointC",,,,,,"Person2, Chair2, Desk5, Chair3, PointC","Person2, Chair2, Desk5, Chair3, PointC","person2, chair2, desk5, chair3, pointC",false,
608,Medium-608,medium,direct,"Secure that chair, then push that file next to the desk.","Chair4, File4, Desk1",,,,,,"Chair4, File4, Desk1","Chair4, File4, Desk1","chair4, file4, desk1",false,
609,Medium-609,medium,indirect,"Tell that colleague to secure that laptop, then slide that chair to there.","Person2, Laptop2, Chair3, Desk5",,,,,,"Person2, Laptop2, Chair3, Desk5","Person2, Laptop2, Chair3, Desk5","person2, laptop2, chair3, desk5",false,
610,Medium-610,medium,direct,"Tidy that drawer, then tidy that file.","Drawer1, File4",,,,,,"Drawer1, File4","Drawer1, File4","Drawer1, file4",false,
611,Medium-611,medium,indirect,"Ask that colleague to verify that file for its label, then inspect that lamp for brightness.","Person2, File3, Lamp1",,,,,,"Person2, File3, Lamp1","Person2, File3, Lamp1","person2, file3, lamp1",false,
612,Medium-612,medium,direct,"Check that computer for display issues, then move that chair over there, then carry that file next to the desk.","PC5, Chair5, Desk6, File5, Desk2",,,,,,"PC5, Chair5, Desk6, File5, Desk2","PC5, Chair5, Desk6, File5, Desk2","PC5, chair5, desk6, file5, desk2",false,
613,Medium-613,medium,direct,"Close that door, then place that laptop close to the spot.","Door1, Laptop2, PointB",,,,,,"Door1, Laptop2, PointB","Door1, Laptop2, PointB","door1, laptop2, pointB",false,
614,Medium-614,medium,direct,"Inspect that door for scratches, then slide that file by that desk, then adjust that lamp.","Door1, File4, Desk7, Lamp1",,,,,,"Door1, File4, Desk7, Lamp1","Door1, File4, Desk7, Lamp1","door1, file4, desk7, lamp1",false,
615,Medium-615,medium,direct,"Adjust that lamp, then check that printer for paper and toner, then open that door.","Lamp3, Printer1, Door1",,,,,,"Lamp3, Printer1, Door1","Lamp3, Printer1, Door1","lamp3, printer, door1",false,
616,Medium-616,medium,direct,"Push that laptop by the desk, then check that computer for display issues.","Laptop1, Desk5, PC5",,,,,,"Laptop1, Desk5, PC5","Laptop1, Desk5, PC5","laptop1, desk5, PC5",false,
617,Medium-617,medium,indirect,"Instruct that colleague to verify that door for scratches, then check that lamp for brightness.","Person3, Door1, Lamp3",,,,,,"Person3, Door1, Lamp3","Person3, Door1, Lamp3","person3, door1, lamp3",false,
618,Medium-618,medium,indirect,"Tell that colleague to move that chair next to the printer, then carry it near the desk.","Person2, Chair8, Printer1, Desk6",,,,,,"Person2, Chair8, Printer1, Desk6","Person2, Chair8, Printer1, Desk6","person2, chair8, printer, desk6",false,
619,Medium-619,medium,direct,"Carry that chair next to the desk, then move that file next to the desk.","Chair8, Desk2, File3, Desk3",,,,,,"Chair8, Desk2, File3, Desk3","Chair8, Desk2, File3, Desk3","chair8, desk2, file3, desk3",false,
620,Medium-620,medium,indirect,"Request that colleague to inspect that file for its label, then push that chair next to the desk.","Person2, File1, Chair2, Desk8",,,,,,"Person2, File1, Chair2, Desk8","Person2, File1, Chair2, Desk8","person2, file1, chair2, desk8",false,
621,Medium-621,medium,direct,"Adjust that lamp, then carry that chair near the door.","Lamp3, Chair6, Door1",,,,,,"Lamp3, Chair6, Door1","Lamp3, Chair6, Door1","lamp3, chair6, door1",false,
622,Medium-622,medium,direct,"Verify that printer for paper and toner, then slide that chair near there.","Printer1, Chair7, Desk2",,,,,,"Printer1, Chair7, Desk2","Printer1, Chair7, Desk2","printer, chair7, desk2",false,
623,Medium-623,medium,direct,"Confirm that lamp for brightness, then place that file near there, then place that chair near the desk.","Lamp3, File5, PointB, Chair6, Desk6",,,,,,"Lamp3, File5, PointB, Chair6, Desk6","Lamp3, File5, PointB, Chair6, Desk6","lamp3, file5, pointB, chair6, desk6",false,
624,Medium-624,medium,direct,"Move that chair near there, then confirm that file for its label.","Chair4, Printer1, File5",,,,,,"Chair4, Printer1, File5","Chair4, Printer1, File5","chair4, printer, file5",false,
625,Medium-625,medium,indirect,"Ask that colleague to carry that file near there, then slide that chair close to the desk.","Person1, File4, Desk3, Chair3, Desk7",,,,,,"Person1, File4, Desk3, Chair3, Desk7","Person1, File4, Desk3, Chair3, Desk7","person1, file4, desk3, chair3, desk7",false,
626,Medium-626,medium,indirect,"Tell that colleague to tidy that file, then place that laptop to there.","Person3, File1, Laptop2, PointC",,,,,,"Person3, File1, Laptop2, PointC","Person3, File1, Laptop2, PointC","person3, file1, laptop2, pointC",false,
627,Medium-627,medium,direct,"Reposition that chair near the desk, then place that file close to the door.","Chair6, Desk6, File5, Door1",,,,,,"Chair6, Desk6, File5, Door1","Chair6, Desk6, File5, Door1","chair6, desk6, file5, door1",false,
628,Medium-628,medium,direct,"Confirm that computer for display issues, then carry that laptop near the desk.","PC1, Laptop1, Desk8",,,,,,"PC1, Laptop1, Desk8","PC1, Laptop1, Desk8","PC1, laptop1, desk8",false,
629,Medium-629,medium,direct,"Adjust that chair, then slide that chair to there, then confirm that door for scratches.","Chair5, Chair4, Desk6, Door1",,,,,,"Chair5, Chair4, Desk6, Door1","Chair5, Chair4, Desk6, Door1","chair5, chair4, desk6, door1",false,
630,Medium-630,medium,direct,"Check that laptop for battery level, then push that file near the desk.","Laptop2, File5, Desk4",,,,,,"Laptop2, File5, Desk4","Laptop2, File5, Desk4","laptop2, file5, desk4",false,
631,Medium-631,medium,indirect,"Ask that colleague to carry that file near there, then confirm that computer for display issues, then adjust that laptop.","Person1, File4, PointB, PC2, Laptop1",,,,,,"Person1, File4, PointB, PC2, Laptop1","Person1, File4, PointB, PC2, Laptop1","person1, file4, pointB, PC2, laptop1",false,
632,Medium-632,medium,indirect,"Ask that colleague to place that chair near the desk, then inspect that printer for paper and toner.","Person2, Chair3, Desk4, Printer1",,,,,,"Person2, Chair3, Desk4, Printer1","Person2, Chair3, Desk4, Printer1","person2, chair3, desk4, printer",false,
633,Medium-633,medium,direct,"Slide that chair near the desk, then verify that desk for clutter.","Chair1, Desk8, Desk5",,,,,,"Chair1, Desk8, Desk5","Chair1, Desk8, Desk5","chair1, desk8, desk5",false,
634,Medium-634,medium,direct,"Carry that file near there, then secure that file, then slide that file near the desk.","File3, Desk1, File5, File4, Desk8",,,,,,"File3, Desk1, File5, File4, Desk8","File3, Desk1, File5, File4, Desk8","file3, desk1, file5, file4, desk8",false,
635,Medium-635,medium,direct,"Secure that chair, then place that file to the desk.","Chair5, File2, Desk6",,,,,,"Chair5, File2, Desk6","Chair5, File2, Desk6","chair5, file2, desk6",false,
636,Medium-636,medium,direct,"Arrange that chair, then confirm that printer for paper and toner.","Chair1, Printer1",,,,,,"Chair1, Printer1","Chair1, Printer1","chair1, printer",false,
637,Medium-637,medium,indirect,"Tell that colleague to close that door, then move that file to the desk, then reposition that chair in front of the desk.","Person3, Door1, File1, Desk4, Chair8, Desk2",,,,,,"Person3, Door1, File1, Desk4, Chair8, Desk2","Person3, Door1, File1, Desk4, Chair8, Desk2","person3, door1, file1, desk4, chair8, desk2",false,
638,Medium-638,medium,indirect,"Request that colleague to adjust that lamp, then open that drawer.","Person2, Lamp1, Drawer2",,,,,,"Person2, Lamp1, Drawer2","Person2, Lamp1, Drawer2","person2, lamp1, Drawer2",false,
639,Medium-639,medium,direct,"Close that door, then inspect that desk for clutter.","Door1, Desk6",,,,,,"Door1, Desk6","Door1, Desk6","door1, desk6",false,
640,Medium-640,medium,direct,"Inspect that desk for clutter, then inspect that computer for display issues.","Desk7, PC4",,,,,,"Desk7, PC4","Desk7, PC4","desk7, PC4",false,
641,Medium-641,medium,direct,"Secure that file, then reposition that chair near the door, then check that file for its label.","File5, Chair3, Door1, File1",,,,,,"File5, Chair3, Door1, File1","File5, Chair3, Door1, File1","file5, chair3, door1, file1",false,
642,Medium-642,medium,direct,"Carry that chair near there, then slide that laptop by the desk.","Chair4, PointA, Laptop1, Desk3",,,,,,"Chair4, PointA, Laptop1, Desk3","Chair4, PointA, Laptop1, Desk3","chair4, pointA, laptop1, desk3",false,
643,Medium-643,medium,direct,"Slide that laptop near there, then verify that desk for clutter.","Laptop1, Desk5, Desk6",,,,,,"Laptop1, Desk5, Desk6","Laptop1, Desk5, Desk6","laptop1, desk5, desk6",false,
644,Medium-644,medium,direct,"Verify that file for its label, then tidy that drawer.","File1, Drawer2",,,,,,"File1, Drawer2","File1, Drawer2","file1, Drawer2",false,
645,Medium-645,medium,indirect,"Request that colleague to slide that file to there, then inspect that file for its label.","Person3, File1, Desk8, File3",,,,,,"Person3, File1, Desk8, File3","Person3, File1, Desk8, File3","person3, file1, desk8, file3",false,
646,Medium-646,medium,direct,"Move that file to there, then move that chair to the desk.","File1, PointA, Chair7, Desk4",,,,,,"File1, PointA, Chair7, Desk4","File1, PointA, Chair7, Desk4","file1, pointA, chair7, desk4",false,
647,Medium-647,medium,direct,"Adjust that laptop, then confirm it for battery level.",Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
648,Medium-648,medium,indirect,"Instruct that colleague to adjust that lamp, then confirm that laptop for battery level.","Person2, Lamp2, Laptop1",,,,,,"Person2, Lamp2, Laptop1","Person2, Lamp2, Laptop1","person2, lamp2, laptop1",false,
